Fecha,Producto,Cantidad,Precio Unitario (USD)
20/09/2023,Kindle Paperwhite,18,139.99
14/06/2023,Samsung Galaxy Tab S8,13,699.99
01/04/2023,Xbox Series X,12,499
14/09/2023,PlayStation 5,9,499.99
24/02/2023,Google Pixel 7 Pro,10,899
07/11/2023,Nintendo Switch OLED,16,349.99
31/12/2023,"MacBook Pro 14""",13,1999
16/02/2023,Dell XPS 15,20,1499.99
28/06/2023,"MacBook Pro 14""",2,1999
12/07/2023,iPhone 15 Pro,8,999
06/03/2023,"MacBook Pro 14""",10,1999
19/03/2023,PlayStation 5,7,499.99
18/03/2023,Apple Watch Series 8,2,399
24/03/2023,iPhone 15 Pro,18,999
17/11/2023,Sony WH-1000XM5,10,399.99
11/10/2023,PlayStation 5,2,499.99
22/11/2023,Nintendo Switch OLED,10,349.99
03/10/2023,Xbox Series X,1,499
11/09/2023,"MacBook Pro 14""",1,1999
22/10/2023,Dell XPS 15,10,1499.99
07/05/2023,ASUS ROG Zephyrus G14,1,1599
31/12/2023,Apple Watch Series 8,12,399
15/04/2023,Apple Watch Series 8,8,399
27/05/2023,Samsung Galaxy Tab S8,5,699.99
22/01/2023,PlayStation 5,18,499.99
11/10/2023,PlayStation 5,4,499.99
05/09/2023,HP Spectre x360,14,1299
22/02/2023,Dell XPS 15,20,1499.99
04/07/2023,Apple Watch Series 8,7,399
18/08/2023,Kindle Paperwhite,5,139.99
27/02/2023,iPad Air (5ta Gen),15,599
07/12/2023,ASUS ROG Zephyrus G14,20,1599
15/09/2023,Nintendo Switch OLED,1,349.99
28/10/2023,Samsung Galaxy S23,2,899.99
24/09/2023,Samsung Galaxy Tab S8,7,699.99
04/10/2023,Microsoft Surface Laptop 5,17,1299
10/10/2023,AirPods Pro (2da Gen),1,249
26/08/2023,Sony WH-1000XM5,4,399.99
07/06/2023,Xbox Series X,4,499
02/06/2023,iPad Air (5ta Gen),19,599
22/12/2023,AirPods Pro (2da Gen),20,249
20/02/2023,Sony WH-1000XM5,4,399.99
14/10/2023,Google Pixel 7 Pro,17,899
30/10/2023,Sony WH-1000XM5,17,399.99
19/06/2023,Google Pixel 7 Pro,13,899
12/02/2023,iPhone 15 Pro,18,999
07/02/2023,Logitech MX Master 3S,19,99.99
13/04/2023,Apple Watch Series 8,11,399
25/05/2023,Logitech MX Master 3S,3,99.99
17/08/2023,Apple Watch Series 8,6,399
27/07/2023,Apple Watch Series 8,13,399
24/06/2023,Logitech MX Master 3S,7,99.99
20/06/2023,Microsoft Surface Laptop 5,15,1299
22/12/2023,ASUS ROG Zephyrus G14,5,1599
14/09/2023,ASUS ROG Zephyrus G14,16,1599
16/06/2023,Xbox Series X,10,499
07/05/2023,JBL Charge 5,12,179.99
19/07/2023,LG OLED C2 TV,17,1499
19/08/2023,Dell XPS 15,13,1499.99
26/06/2023,"MacBook Pro 14""",12,1999
26/02/2023,JBL Charge 5,20,179.99
24/12/2023,Google Pixel 7 Pro,5,899
29/04/2023,ASUS ROG Zephyrus G14,9,1599
28/04/2023,"MacBook Pro 14""",20,1999
03/02/2023,AirPods Pro (2da Gen),14,249
14/03/2023,"MacBook Pro 14""",11,1999
27/01/2023,HP Spectre x360,13,1299
31/07/2023,Kindle Paperwhite,10,139.99
08/12/2023,JBL Charge 5,12,179.99
22/05/2023,Xbox Series X,1,499
17/04/2023,iPad Air (5ta Gen),16,599
14/04/2023,AirPods Pro (2da Gen),6,249
09/01/2023,Samsung Galaxy Tab S8,10,699.99
16/11/2023,Nintendo Switch OLED,14,349.99
22/10/2023,iPad Air (5ta Gen),13,599
31/10/2023,HP Spectre x360,1,1299
06/06/2023,PlayStation 5,15,499.99
11/06/2023,"MacBook Pro 14""",15,1999
28/08/2023,Logitech MX Master 3S,16,99.99
07/08/2023,LG OLED C2 TV,17,1499
26/10/2023,Nintendo Switch OLED,1,349.99
17/12/2023,iPhone 15 Pro,5,999
05/07/2023,Logitech MX Master 3S,6,99.99
27/08/2023,Microsoft Surface Laptop 5,6,1299
30/09/2023,Samsung Galaxy S23,9,899.99
07/08/2023,HP Spectre x360,20,1299
11/02/2023,Dell XPS 15,6,1499.99
10/08/2023,Nintendo Switch OLED,13,349.99
11/04/2023,Kindle Paperwhite,4,139.99
22/12/2023,Kindle Paperwhite,3,139.99
18/02/2023,PlayStation 5,9,499.99
29/04/2023,"MacBook Pro 14""",6,1999
08/04/2023,Dell XPS 15,17,1499.99
11/01/2023,Kindle Paperwhite,7,139.99
14/08/2023,Nintendo Switch OLED,7,349.99
03/02/2023,Samsung Galaxy Tab S8,19,699.99
30/09/2023,iPad Air (5ta Gen),6,599
20/03/2023,ASUS ROG Zephyrus G14,9,1599
17/04/2023,Logitech MX Master 3S,12,99.99
21/10/2023,Sony WH-1000XM5,1,399.99
02/05/2023,Kindle Paperwhite,1,139.99
29/05/2023,iPad Air (5ta Gen),15,599
15/09/2023,Xbox Series X,15,499
22/06/2023,Samsung Galaxy S23,11,899.99
16/05/2023,Apple Watch Series 8,9,399
20/07/2023,Logitech MX Master 3S,13,99.99
20/06/2023,Nintendo Switch OLED,8,349.99
15/05/2023,iPhone 15 Pro,1,999
24/09/2023,PlayStation 5,2,499.99
22/03/2023,Dell XPS 15,11,1499.99
14/08/2023,Xbox Series X,16,499
15/11/2023,Dell XPS 15,20,1499.99
20/11/2023,Samsung Galaxy Tab S8,16,699.99
16/08/2023,Samsung Galaxy Tab S8,14,699.99
06/02/2023,LG OLED C2 TV,11,1499
15/08/2023,Nintendo Switch OLED,14,349.99
10/06/2023,Microsoft Surface Laptop 5,19,1299
01/06/2023,Dell XPS 15,3,1499.99
29/12/2023,Xbox Series X,6,499
06/10/2023,Xbox Series X,14,499
18/08/2023,LG OLED C2 TV,18,1499
25/12/2023,iPad Air (5ta Gen),20,599
16/03/2023,ASUS ROG Zephyrus G14,20,1599
11/09/2023,Microsoft Surface Laptop 5,6,1299
11/06/2023,HP Spectre x360,12,1299
04/08/2023,LG OLED C2 TV,7,1499
27/08/2023,Dell XPS 15,20,1499.99
08/02/2023,AirPods Pro (2da Gen),13,249
25/02/2023,Apple Watch Series 8,19,399
13/10/2023,Dell XPS 15,8,1499.99
24/04/2023,Dell XPS 15,16,1499.99
04/04/2023,Logitech MX Master 3S,1,99.99
03/11/2023,HP Spectre x360,14,1299
07/01/2023,JBL Charge 5,8,179.99
12/12/2023,PlayStation 5,17,499.99
16/05/2023,PlayStation 5,14,499.99
10/02/2023,Google Pixel 7 Pro,12,899
17/11/2023,"MacBook Pro 14""",3,1999
12/01/2023,Nintendo Switch OLED,8,349.99
29/07/2023,Sony WH-1000XM5,19,399.99
28/01/2023,Nintendo Switch OLED,5,349.99
02/03/2023,Nintendo Switch OLED,14,349.99
23/05/2023,HP Spectre x360,8,1299
03/11/2023,HP Spectre x360,4,1299
07/09/2023,iPhone 15 Pro,9,999
16/03/2023,"MacBook Pro 14""",6,1999
04/04/2023,Google Pixel 7 Pro,17,899
28/01/2023,Google Pixel 7 Pro,1,899
18/09/2023,Sony WH-1000XM5,4,399.99
10/04/2023,Google Pixel 7 Pro,14,899
17/12/2023,ASUS ROG Zephyrus G14,4,1599
28/11/2023,HP Spectre x360,11,1299
07/07/2023,Sony WH-1000XM5,4,399.99
11/06/2023,Logitech MX Master 3S,14,99.99
21/11/2023,"MacBook Pro 14""",16,1999
08/09/2023,PlayStation 5,1,499.99
16/10/2023,LG OLED C2 TV,12,1499
